-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Latitude  47.6101   Longitude -122.2015
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 110.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999
Parameter(s):
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2)
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (W m-2)
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (W m-2)
T2M                    MERRA-2 Temperature at 2 Meters (C)
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%)
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s)
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees)
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C)
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C)
PS                     MERRA-2 Surface Pressure (kPa)
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg)
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day)
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,WD10M,T2MDEW,T2MWET,PS,QV2M,PRECTOTCORR
2025,1,2,18,71.75,0.0,62.8,3.94,97.49,1.16,150.6,3.6,3.77,100.35,4.91,5.52
2025,1,2,19,90.18,0.0,78.86,4.28,97.67,1.08,159.4,3.96,4.12,100.32,5.04,4.36
2025,1,2,20,86.53,0.0,73.94,4.72,97.5,1.13,160.3,4.37,4.54,100.3,5.19,3.29
2025,1,2,21,57.8,0.0,50.14,5.19,97.41,1.13,157.5,4.81,5.0,100.28,5.36,2.09
2025,1,2,22,75.15,0.0,65.9,5.64,97.24,1.1,146.9,5.24,5.44,100.3,5.52,1.1
2025,1,2,23,39.88,0.0,34.84,5.27,97.78,1.2,123.8,4.95,5.11,100.29,5.41,0.68
2025,1,3,0,3.85,0.0,4.41,4.34,97.62,1.62,113.7,4.03,4.19,100.29,5.06,0.4
2025,1,3,1,0.0,0.0,0.0,4.16,97.12,1.69,110.8,3.76,3.96,100.3,4.97,0.32
2025,1,3,2,0.0,0.0,0.0,4.21,96.02,1.4,105.7,3.64,3.93,100.32,4.93,0.27
2025,1,3,3,0.0,0.0,0.0,3.65,96.82,1.27,78.2,3.2,3.43,100.29,4.78,0.19
2025,1,3,4,0.0,0.0,0.0,3.21,98.15,1.38,54.7,2.93,3.07,100.23,4.7,0.15
2025,1,3,5,0.0,0.0,0.0,2.86,98.62,1.74,39.6,2.66,2.76,100.16,4.61,0.17
2025,1,3,6,0.0,0.0,0.0,2.43,98.78,1.43,35.4,2.26,2.35,100.11,4.48,0.11
2025,1,3,7,0.0,0.0,0.0,2.3,98.76,1.41,16.5,2.15,2.23,100.06,4.44,0.16
2025,1,3,8,0.0,0.0,0.0,2.14,98.7,1.69,19.0,1.99,2.07,99.99,4.39,0.48
2025,1,3,9,0.0,0.0,0.0,2.29,98.25,1.53,20.3,2.08,2.18,99.92,4.42,1.64
2025,1,3,10,0.0,0.0,0.0,2.7,97.93,1.02,27.6,2.42,2.56,99.84,4.54,3.0
2025,1,3,11,0.0,0.0,0.0,2.95,97.11,1.49,25.9,2.57,2.76,99.69,4.59,5.24
2025,1,3,12,0.0,0.0,0.0,3.06,95.63,1.33,49.6,2.44,2.75,99.58,4.56,16.69
2025,1,3,13,0.0,0.0,0.0,3.32,95.0,1.82,51.7,2.62,2.97,99.47,4.62,23.19
2025,1,3,14,0.0,0.0,0.0,3.62,94.52,2.13,65.8,2.85,3.23,99.36,4.7,41.74
2025,1,3,15,0.0,0.0,0.0,3.59,95.06,1.97,75.9,2.89,3.24,99.29,4.72,53.95
2025,1,3,16,8.35,2.18,8.5,3.52,95.33,1.8,84.3,2.87,3.2,99.3,4.71,51.79
2025,1,3,17,34.3,5.28,29.86,3.81,95.38,1.68,94.8,3.15,3.48,99.3,4.81,40.49
2025,1,3,18,58.72,6.36,50.89,4.09,95.28,1.53,113.5,3.42,3.76,99.32,4.9,30.89
2025,1,3,19,68.93,9.58,59.45,4.19,95.59,1.84,150.6,3.56,3.88,99.33,4.95,22.93
2025,1,3,20,65.35,10.98,54.82,4.4,96.1,2.26,168.2,3.83,4.12,99.34,5.05,10.52
2025,1,3,21,66.97,12.27,57.02,4.76,96.13,2.19,174.2,4.2,4.48,99.36,5.18,3.63
2025,1,3,22,86.25,24.89,72.97,5.02,96.25,2.15,174.4,4.5,4.76,99.39,5.28,1.55
2025,1,3,23,37.88,26.51,31.26,4.93,97.09,1.87,168.9,4.53,4.73,99.45,5.29,1.28
2025,1,4,0,4.45,10.91,6.14,4.3,98.26,1.91,165.2,4.06,4.18,99.49,5.12,1.17
2025,1,4,1,0.0,0.0,0.0,4.18,98.33,2.02,169.1,3.95,4.07,99.51,5.08,1.02
2025,1,4,2,0.0,0.0,0.0,4.11,98.07,2.09,176.4,3.85,3.98,99.53,5.04,0.82
2025,1,4,3,0.0,0.0,0.0,3.86,98.26,2.03,181.7,3.64,3.75,99.57,4.96,0.67
2025,1,4,4,0.0,0.0,0.0,2.99,98.85,1.9,183.9,2.86,2.92,99.6,4.69,0.5
2025,1,4,5,0.0,0.0,0.0,2.87,98.9,1.6,185.4,2.73,2.8,99.65,4.65,0.35
2025,1,4,6,0.0,0.0,0.0,2.86,98.82,1.52,189.5,2.72,2.79,99.71,4.64,0.29
2025,1,4,7,0.0,0.0,0.0,2.8,99.06,1.54,192.4,2.69,2.74,99.74,4.63,0.29
2025,1,4,8,0.0,0.0,0.0,2.73,99.15,1.32,183.0,2.62,2.67,99.76,4.61,1.21
2025,1,4,9,0.0,0.0,0.0,2.98,98.53,1.35,182.5,2.78,2.88,99.84,4.66,2.63
2025,1,4,10,0.0,0.0,0.0,3.29,98.13,1.81,185.1,3.04,3.16,99.93,4.74,3.51
2025,1,4,11,0.0,0.0,0.0,3.75,98.0,2.1,178.9,3.48,3.61,99.94,4.89,3.83
2025,1,4,12,0.0,0.0,0.0,3.87,98.17,2.28,177.2,3.63,3.75,99.95,4.94,5.42
2025,1,4,13,0.0,0.0,0.0,3.93,98.38,2.46,183.3,3.71,3.82,99.98,4.97,6.84
2025,1,4,14,0.0,0.0,0.0,3.98,98.49,2.59,188.7,3.79,3.88,100.05,4.99,7.5
2025,1,4,15,0.0,0.0,0.0,3.96,98.67,2.74,186.9,3.8,3.88,100.09,4.99,6.31
2025,1,4,16,13.7,0.0,13.94,3.98,98.93,2.57,175.3,3.85,3.91,100.09,5.01,3.65
2025,1,4,17,56.33,0.66,49.26,4.4,98.76,2.75,175.2,4.23,4.32,100.12,5.15,1.73
2025,1,4,18,76.68,0.29,67.06,4.95,98.56,2.86,179.2,4.75,4.85,100.15,5.34,1.77
2025,1,4,19,78.03,0.5,68.17,5.53,98.35,3.12,180.7,5.3,5.42,100.13,5.55,3.77
2025,1,4,20,19.35,0.68,16.47,5.91,98.15,3.14,183.3,5.66,5.78,100.08,5.69,9.57
2025,1,4,21,99.62,0.49,86.39,6.16,97.99,3.12,184.4,5.89,6.02,100.08,5.78,16.59
2025,1,4,22,62.88,0.32,55.11,6.15,97.92,2.8,176.3,5.87,6.01,100.11,5.77,18.07
2025,1,4,23,29.9,0.0,26.13,5.99,97.82,2.85,167.0,5.7,5.85,100.12,5.7,15.16
2025,1,5,0,4.2,0.0,4.81,5.67,97.72,2.9,162.9,5.36,5.51,100.1,5.57,12.71
2025,1,5,1,0.0,0.0,0.0,5.43,97.6,2.76,160.1,5.08,5.26,100.12,5.47,14.09
2025,1,5,2,0.0,0.0,0.0,5.23,97.35,2.67,154.3,4.85,5.04,100.12,5.38,19.94
2025,1,5,3,0.0,0.0,0.0,5.0,97.25,2.56,144.9,4.61,4.8,100.1,5.29,32.98
2025,1,5,4,0.0,0.0,0.0,4.89,96.85,2.57,144.0,4.44,4.67,100.06,5.23,30.16
2025,1,5,5,0.0,0.0,0.0,5.09,96.02,2.55,161.9,4.52,4.81,100.03,5.26,20.35
2025,1,5,6,0.0,0.0,0.0,5.09,96.42,2.49,179.8,4.59,4.84,100.06,5.28,13.65
2025,1,5,7,0.0,0.0,0.0,5.02,97.49,2.51,196.0,4.65,4.84,100.11,5.31,9.67
2025,1,5,8,0.0,0.0,0.0,5.1,98.28,2.46,205.5,4.87,4.98,100.17,5.38,8.52
2025,1,5,9,0.0,0.0,0.0,5.23,99.27,2.38,205.2,5.11,5.17,100.24,5.48,6.8
2025,1,5,10,0.0,0.0,0.0,5.75,99.5,2.54,208.5,5.67,5.71,100.34,5.69,6.29
2025,1,5,11,0.0,0.0,0.0,6.25,99.74,2.49,211.0,6.21,6.23,100.43,5.9,6.4
2025,1,5,12,0.0,0.0,0.0,6.62,99.78,2.51,211.7,6.58,6.6,100.52,6.05,5.42
2025,1,5,13,0.0,0.0,0.0,6.73,99.76,2.44,211.9,6.7,6.71,100.6,6.09,5.08
2025,1,5,14,0.0,0.0,0.0,6.66,99.65,2.36,208.8,6.62,6.64,100.66,6.05,4.38
2025,1,5,15,0.0,0.0,0.0,6.51,99.58,2.28,210.1,6.47,6.49,100.72,5.98,3.54
2025,1,5,16,16.12,23.5,16.13,6.41,99.66,1.96,209.1,6.37,6.39,100.78,5.94,2.92
2025,1,5,17,68.82,101.89,56.15,6.62,99.45,1.78,208.9,6.54,6.58,100.85,6.01,2.62
2025,1,5,18,116.93,144.16,83.57,6.87,99.11,1.64,216.3,6.74,6.8,100.92,6.09,2.64
2025,1,5,19,150.05,154.61,96.87,6.97,98.94,1.35,227.1,6.81,6.89,100.94,6.12,2.67
2025,1,5,20,148.3,228.87,86.43,6.92,98.97,0.94,241.5,6.76,6.84,100.95,6.1,2.56
2025,1,5,21,125.47,105.27,95.72,6.78,99.13,0.81,263.6,6.64,6.71,100.97,6.05,2.43
2025,1,5,22,83.65,10.58,72.6,6.63,99.05,0.68,289.0,6.49,6.56,101.02,5.98,2.18
2025,1,5,23,44.9,0.0,39.23,6.5,98.31,0.58,326.3,6.26,6.38,101.06,5.88,1.75
2025,1,6,0,5.47,0.0,5.86,6.27,98.05,0.74,18.9,6.0,6.14,101.08,5.77,1.35
2025,1,6,1,0.0,0.0,0.0,5.89,98.77,1.07,36.7,5.71,5.8,101.1,5.66,1.22
2025,1,6,2,0.0,0.0,0.0,5.59,99.46,1.3,39.1,5.51,5.55,101.14,5.58,1.13
2025,1,6,3,0.0,0.0,0.0,5.45,99.41,1.46,39.5,5.38,5.42,101.19,5.52,1.08
2025,1,6,4,0.0,0.0,0.0,5.21,99.32,1.54,32.6,5.13,5.17,101.26,5.42,1.09
2025,1,6,5,0.0,0.0,0.0,4.98,99.3,1.57,26.9,4.9,4.94,101.3,5.33,1.1
2025,1,6,6,0.0,0.0,0.0,4.77,99.27,1.62,17.7,4.69,4.73,101.32,5.25,0.87
2025,1,6,7,0.0,0.0,0.0,4.53,99.41,1.73,9.3,4.45,4.49,101.3,5.17,0.68
2025,1,6,8,0.0,0.0,0.0,4.26,99.17,1.93,1.2,4.16,4.21,101.31,5.06,0.66
2025,1,6,9,0.0,0.0,0.0,4.09,99.03,1.73,357.0,3.98,4.04,101.37,4.99,0.55
2025,1,6,10,0.0,0.0,0.0,4.08,98.96,1.4,356.3,3.96,4.02,101.43,4.98,0.47
2025,1,6,11,0.0,0.0,0.0,3.96,99.03,1.37,357.1,3.84,3.9,101.47,4.94,0.49
2025,1,6,12,0.0,0.0,0.0,3.74,98.83,1.8,6.1,3.6,3.67,101.54,4.85,0.29
2025,1,6,13,0.0,0.0,0.0,3.31,98.83,1.82,11.4,3.16,3.23,101.65,4.7,0.22
2025,1,6,14,0.0,0.0,0.0,2.95,98.82,1.02,20.8,2.79,2.87,101.67,4.58,0.14
2025,1,6,15,0.0,0.0,0.0,2.69,99.09,0.39,14.7,2.55,2.62,101.62,4.51,0.16
2025,1,6,16,21.95,217.91,12.5,2.78,98.7,0.63,324.0,2.58,2.68,101.65,4.52,0.18
2025,1,6,17,92.8,404.92,28.02,3.43,97.24,0.84,326.7,3.04,3.23,101.72,4.66,0.19
2025,1,6,18,157.23,535.16,38.62,4.37,95.92,0.86,312.6,3.79,4.08,101.76,4.91,0.16
2025,1,6,19,193.65,596.25,44.02,5.42,92.6,0.87,311.7,4.32,4.87,101.79,5.1,0.12
2025,1,6,20,201.38,563.3,45.41,6.09,89.14,0.76,348.5,4.45,5.27,101.84,5.14,0.12
2025,1,6,21,195.12,507.67,62.75,6.28,86.98,0.67,0.9,4.29,5.29,101.88,5.08,0.17
2025,1,6,22,148.75,491.98,54.87,6.0,88.21,1.01,17.9,4.21,5.11,101.93,5.05,0.17
2025,1,6,23,72.07,269.79,42.13,5.03,95.31,1.18,37.1,4.34,4.69,101.96,5.1,0.15
2025,1,7,0,7.88,63.5,8.73,3.68,98.46,1.34,45.0,3.47,3.57,102.0,4.79,0.16
2025,1,7,1,0.0,0.0,0.0,3.23,99.57,1.24,43.4,3.19,3.21,102.04,4.69,0.19
2025,1,7,2,0.0,0.0,0.0,2.9,100.0,1.11,52.3,2.98,2.94,102.07,4.63,0.18
2025,1,7,3,0.0,0.0,0.0,2.78,99.77,1.0,65.2,2.71,2.75,102.07,4.55,0.18
2025,1,7,4,0.0,0.0,0.0,2.59,98.9,1.01,63.4,2.36,2.48,102.06,4.45,0.17
2025,1,7,5,0.0,0.0,0.0,2.26,99.2,0.97,51.7,2.02,2.14,102.05,4.36,0.13
2025,1,7,6,0.0,0.0,0.0,1.86,99.73,0.76,28.2,1.7,1.78,102.05,4.26,0.13
2025,1,7,7,0.0,0.0,0.0,1.36,100.0,0.98,6.5,1.27,1.32,102.04,4.13,0.13
2025,1,7,8,0.0,0.0,0.0,0.8,100.0,1.15,353.0,0.88,0.84,102.08,4.0,0.16
2025,1,7,9,0.0,0.0,0.0,0.54,100.0,1.01,351.5,0.66,0.6,102.16,3.94,0.06
2025,1,7,10,0.0,0.0,0.0,0.65,100.0,0.54,15.1,0.67,0.66,102.2,3.94,0.02
2025,1,7,11,0.0,0.0,0.0,0.87,97.12,0.9,103.4,0.41,0.64,102.11,3.86,0.01
2025,1,7,12,0.0,0.0,0.0,0.87,93.23,0.69,136.2,-0.12,0.38,101.98,3.71,0.02
2025,1,7,13,0.0,0.0,0.0,0.1,95.36,0.68,257.2,-0.53,-0.22,101.94,3.59,0.01
2025,1,7,14,0.0,0.0,0.0,0.52,94.06,0.46,302.7,-0.31,0.11,101.96,3.65,0.0
2025,1,7,15,0.0,0.0,0.0,1.61,89.1,1.12,123.7,0.03,0.82,101.96,3.74,0.0
2025,1,7,16,15.82,37.67,17.03,1.38,92.98,1.96,124.6,0.36,0.87,101.95,3.84,0.01
2025,1,7,17,49.92,9.04,43.38,2.23,98.16,1.3,110.2,1.92,2.07,101.93,4.31,0.01
2025,1,7,18,85.22,29.4,69.66,3.36,92.46,0.81,86.5,2.28,2.82,101.92,4.4,0.0
2025,1,7,19,100.85,0.0,88.2,3.93,91.41,0.58,69.7,2.68,3.3,101.88,4.53,0.0
2025,1,7,20,133.25,53.95,107.2,4.23,90.84,0.69,87.5,2.9,3.57,101.84,4.6,0.0
2025,1,7,21,114.72,51.13,95.41,4.57,89.64,0.92,85.6,3.05,3.81,101.82,4.65,0.0
2025,1,7,22,116.57,32.18,102.15,5.15,86.8,1.27,106.9,3.15,4.15,101.79,4.69,0.0
2025,1,7,23,61.35,83.24,48.03,4.53,90.63,1.25,121.9,3.14,3.84,101.78,4.69,0.0
2025,1,8,0,7.75,26.6,10.12,2.75,95.55,1.63,140.0,2.11,2.43,101.79,4.36,0.03
2025,1,8,1,0.0,0.0,0.0,1.79,99.02,1.94,149.3,1.66,1.72,101.77,4.22,0.05
2025,1,8,2,0.0,0.0,0.0,1.22,99.48,1.68,159.8,1.17,1.19,101.75,4.07,0.05
2025,1,8,3,0.0,0.0,0.0,1.4,97.5,1.68,167.3,1.04,1.22,101.77,4.04,0.09
2025,1,8,4,0.0,0.0,0.0,1.6,93.9,2.22,170.4,0.71,1.15,101.68,3.95,0.19
2025,1,8,5,0.0,0.0,0.0,1.32,93.32,2.0,188.0,0.32,0.82,101.61,3.85,2.03
2025,1,8,6,0.0,0.0,0.0,1.34,94.63,2.12,210.9,0.53,0.94,101.61,3.91,5.11
2025,1,8,7,0.0,0.0,0.0,1.9,94.18,2.12,209.3,1.08,1.49,101.64,4.05,16.89
2025,1,8,8,0.0,0.0,0.0,2.38,91.95,1.69,201.9,1.2,1.79,101.68,4.09,10.4
2025,1,8,9,0.0,0.0,0.0,2.58,92.9,1.75,191.9,1.58,2.08,101.73,4.19,1.85
2025,1,8,10,0.0,0.0,0.0,2.68,94.46,1.98,193.8,1.9,2.29,101.76,4.29,1.21
2025,1,8,11,0.0,0.0,0.0,2.52,95.11,2.02,188.0,1.84,2.18,101.77,4.27,0.61
2025,1,8,12,0.0,0.0,0.0,1.99,96.68,1.96,179.1,1.54,1.76,101.75,4.18,0.01
2025,1,8,13,0.0,0.0,0.0,1.61,97.69,2.09,183.6,1.28,1.45,101.75,4.11,0.0
2025,1,8,14,0.0,0.0,0.0,1.58,97.9,2.05,191.8,1.29,1.43,101.75,4.11,0.0
2025,1,8,15,0.0,0.0,0.0,1.93,95.74,1.74,205.2,1.35,1.64,101.79,4.12,0.0
2025,1,8,16,27.3,210.16,19.85,3.23,94.54,0.67,212.7,2.44,2.83,101.87,4.46,0.0
2025,1,8,17,121.62,447.85,48.43,4.66,96.65,0.45,78.4,4.17,4.41,101.95,5.04,0.02
2025,1,8,18,206.9,513.64,72.23,5.13,95.4,0.88,78.8,4.47,4.8,101.97,5.14,0.11
2025,1,8,19,255.4,566.13,77.03,5.35,95.03,0.96,62.1,4.63,4.99,101.96,5.2,0.26
2025,1,8,20,266.08,622.19,73.26,5.44,94.97,1.23,41.7,4.69,5.07,101.95,5.23,0.34
2025,1,8,21,240.5,591.74,63.09,5.49,94.8,1.62,41.3,4.72,5.1,101.93,5.24,0.29
2025,1,8,22,181.48,494.02,62.46,5.43,95.37,1.64,42.0,4.75,5.09,101.92,5.25,0.22
2025,1,8,23,87.2,303.97,42.13,5.15,97.11,1.27,32.4,4.73,4.94,101.97,5.24,0.17
2025,1,9,0,9.23,60.87,9.83,4.34,99.88,1.16,26.1,4.35,4.35,102.01,5.09,0.16
2025,1,9,1,0.0,0.0,0.0,4.13,100.0,1.18,27.2,4.18,4.15,102.06,5.03,0.19
2025,1,9,2,0.0,0.0,0.0,3.87,100.0,1.02,27.3,3.93,3.9,102.08,4.94,0.21
2025,1,9,3,0.0,0.0,0.0,3.85,98.79,0.87,24.5,3.69,3.77,102.08,4.86,0.21
2025,1,9,4,0.0,0.0,0.0,3.68,97.91,0.62,12.0,3.38,3.53,102.07,4.76,0.1
2025,1,9,5,0.0,0.0,0.0,3.29,97.9,0.48,4.8,2.99,3.14,102.06,4.63,0.07
2025,1,9,6,0.0,0.0,0.0,2.89,98.34,0.41,358.6,2.64,2.77,102.07,4.52,0.06
2025,1,9,7,0.0,0.0,0.0,2.56,98.46,0.28,328.0,2.31,2.43,102.08,4.42,0.06
2025,1,9,8,0.0,0.0,0.0,2.25,98.39,0.25,319.9,1.99,2.12,102.08,4.32,0.06
2025,1,9,9,0.0,0.0,0.0,2.12,97.73,0.18,77.5,1.79,1.95,102.11,4.25,0.03
2025,1,9,10,0.0,0.0,0.0,2.27,96.03,0.46,69.6,1.73,2.0,102.14,4.22,0.01
2025,1,9,11,0.0,0.0,0.0,2.45,94.77,0.92,87.5,1.72,2.08,102.1,4.22,0.0
2025,1,9,12,0.0,0.0,0.0,2.49,93.74,1.18,93.4,1.6,2.04,102.0,4.19,0.01
2025,1,9,13,0.0,0.0,0.0,2.56,91.83,0.96,89.4,1.37,1.96,101.87,4.13,0.01
2025,1,9,14,0.0,0.0,0.0,1.89,93.47,0.36,30.1,0.98,1.43,101.8,4.01,0.01
2025,1,9,15,0.0,0.0,0.0,0.65,100.0,0.78,351.9,0.67,0.66,101.8,3.93,0.01
2025,1,9,16,25.73,162.81,19.49,1.68,98.67,1.04,39.5,1.51,1.6,101.81,4.17,0.02
2025,1,9,17,126.15,417.22,57.55,3.03,94.99,1.26,27.4,2.33,2.68,101.82,4.42,0.1
2025,1,9,18,221.73,558.61,81.94,3.87,92.54,1.34,33.1,2.78,3.33,101.82,4.57,0.08
2025,1,9,19,276.5,642.21,91.65,4.82,90.26,1.26,36.0,3.37,4.1,101.72,4.77,0.04
2025,1,9,20,295.02,608.91,93.0,5.7,88.35,1.22,28.5,3.93,4.82,101.6,4.97,0.04
2025,1,9,21,263.98,571.71,95.67,6.2,86.16,1.44,16.5,4.08,5.14,101.56,5.02,0.05
2025,1,9,22,199.65,501.74,81.06,6.0,87.91,1.71,23.4,4.17,5.08,101.59,5.05,0.01
2025,1,9,23,99.22,275.81,59.24,5.21,92.5,1.22,42.0,4.1,4.65,101.6,5.03,0.0
2025,1,10,0,10.68,32.78,13.08,3.84,96.93,0.9,56.8,3.37,3.61,101.55,4.79,0.0
2025,1,10,1,0.0,0.0,0.0,3.2,97.53,0.7,86.7,2.84,3.02,101.47,4.61,0.0
2025,1,10,2,0.0,0.0,0.0,3.0,94.56,0.65,125.6,2.24,2.62,101.38,4.41,0.0
